Description,Features,Image_urls,Images,Price,Product_Brand,Product_ID,Product_Model,Product_Name,Rating
"<div class=""tab-content is-active"" id=""tab-description"">
        Bushnell's Classic Marine Binoculars with internal range-finder and illuminated compass.<br>Features:<ul><li>3-Axis Digital Compass</li><li>BaK-4 porro prisms for bright, clear, crisp viewing</li><li>Fully Multi-coated optics for superior light transmission and brightness</li><li>100% waterproof / fogproof </li><li>O-ring sealed and nitrogen-purged to keep out moisture </li><li>Highly resistant to saltwater corrosion</li><li>Non-slip, non-skid rubber armor cushions bumps and shock, prevents sliding and provides a firm grip when wet</li><li>Hermetically sealed</li><li>Fold-down eyecups</li></ul><br>Model: 13-7500<br>Magnification X Obj Lens: 7 x 50<br>Size Class: Standard<br>Focus System: Individual<br>Prism System: Porro<br>Prism Glass: BaK-4<br>Lens Coating: Multi<br>Field of View (ft@1000yds / m@1000m): 350/117<br>Close Focus (ft/m): 35/10.6<br>Exit Pupil (mm): 7.1<br>Eye Relief: 18<br>Eyecups: Fold Down<br>Weight (oz/g): 37/1050<br>Water/Fog Proof: Yes<br>Adapt to Tripod: Yes
        <!-- snippet location product_description -->
    </div>","<ul><li>3-Axis Digital Compass</li><li>BaK-4 porro prisms for bright, clear, crisp viewing</li><li>Fully Multi-coated optics for superior light transmission and brightness</li><li>100% waterproof / fogproof </li><li>O-ring sealed and nitrogen-purged to keep out moisture </li><li>Highly resistant to saltwater corrosion</li><li>Non-slip, non-skid rubber armor cushions bumps and shock, prevents sliding and provides a firm grip when wet</li><li>Hermetically sealed</li><li>Fold-down eyecups</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/382874/125802/api8jnhxw__29347.1562794284.jpg?c=2&imbypass=on,,$179.99,Remington,330543,NA,Rem 7mm Rem Magnum 140 Gr Pointed Soft Point Core-Lokt,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The Vortex Solo 10x36 Monocular offers fully multi-coated air-to-glass surfaces to increase light transmission. Roof prism allows for greater durability and a more compact size. O-rings and Nitrogen Gas purging delivers fogproof and waterproof performance while also preventing dust and debris. Rubber armor provides a secure, non-slip grip and durable external protection. An adjustable eyecup twists up and down to precise, intermediate settings to maximize custom fit for comfortable viewing with or without eyeglasses.<br><br><b>Features</b><ul><li>Magnification: 10x</li><li>Objective Lens Diameter: 36 mm</li><li>Eye Relief: 15 mm</li><li>Exit Pupil: 3.6 mm</li><li>Linear Field of VIew: 325 feet/1000 yards</li><li>Angular Field of View: 6.2 degrees</li><li>Close Focus: 16.4 feet</li><li>Length: 4.9 inches</li><li>Width: 2.6 inches</li><li>Weight: 9.7 ounces</li><li>Model: S136</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Magnification: 10x</li><li>Objective Lens Diameter: 36 mm</li><li>Eye Relief: 15 mm</li><li>Exit Pupil: 3.6 mm</li><li>Linear Field of VIew: 325 feet/1000 yards</li><li>Angular Field of View: 6.2 degrees</li><li>Close Focus: 16.4 feet</li><li>Length: 4.9 inches</li><li>Width: 2.6 inches</li><li>Weight: 9.7 ounces</li><li>Model: S136</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/340505/75446/apiwhzry0__44957.1561050950.jpg?c=2&imbypass=on,,$109.99,Alliant Powder,325123,NA,Alliant Powder Reloder 10X Smokeless Rifle Powder 1 lb.,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The Vortex Solo 10x25 Monocular offers fully multi-coated air-to-glass surfaces to increase light transmission. Roof prism allows for greater durability and a more compact size. O-rings and Nitrogen Gas purging delivers fogproof and waterproof performance while also preventing dust and debris. Rubber armor provides a secure, non-slip grip and durable external protection. An adjustable eyecup twists up and down to precise, intermediate settings to maximize custom fit for comfortable viewing with or without eyeglasses.<br><br><b>Features</b><ul><li>Magnification: 10x</li><li>Objective Lens Diameter: 25 mm</li><li>Eye Relief: 14.5 mm</li><li>Exit Pupil: 2.5 mm</li><li>Linear Field of VIew: 315 feet/1000 yards</li><li>Angular Field of View: 6 degrees</li><li>Close Focus: 16.4 feet</li><li>Length: 4.4 inches</li><li>Width: 1.8 inches</li><li>Weight: 5.6 ounces</li><li>Model: S105</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Magnification: 10x</li><li>Objective Lens Diameter: 25 mm</li><li>Eye Relief: 14.5 mm</li><li>Exit Pupil: 2.5 mm</li><li>Linear Field of VIew: 315 feet/1000 yards</li><li>Angular Field of View: 6 degrees</li><li>Close Focus: 16.4 feet</li><li>Length: 4.4 inches</li><li>Width: 1.8 inches</li><li>Weight: 5.6 ounces</li><li>Model: S105</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/323337/79347/apiztt3as__02888.1561060286.jpg?c=2&imbypass=on,,$54.99,Vortex,340505,NA,Vortex Solo 10x36 Monocular,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Simmons Venture Binoculars</b> will make sure you're ready for whatever nature throws at you. Fully multi-coated lenses transmit the maximum amount of light, revealing the finest of details even at first and last light when game is most active. Specifically designed for hunters and outdoor enthusiasts.<br><br>The Venture Binoculars offer:<ul><li>Fully-multi coated optics deliver bright images, even in low-light conditions</li><li>Compact, mid-size, full-size options fit in storage compartments of every size</li><li>Rubber armor housing protects optics while providing superior anti-slip grip</li><li>Carrying case, neck strap and lens cloth included</li><li>Fully weather resistant</li></ul><b>Features:</b><ul><li><b>Model:</b> 897842R</li><li><b>Finish:</b> Black</li><li><b>Magnification:</b> 8X</li><li><b>Objective Lens:</b> 42 mm</li><li><b>Prism System:</b> Roof</li><li><b>Prism Glass:</b> BK7</li><li><b>Lens Coating:</b> Fully Multi Coated</li><li><b>Field of View:</b> 360 ft at 100 yds</li><li><b>Eye Relief:</b> 17.78 mm</li><li><b>Exit Pupil:</b> 19.8 mm</li><li><b>Weight:</b> 5.8 oz</li><li><b>Short Focus:</b> 8 m</li><li><b>Waterproof/Fogprood:</b> No</li><li><b>Adapt to Tripod:</b> Yes</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>Fully-multi coated optics deliver bright images, even in low-light conditions</li><li>Compact, mid-size, full-size options fit in storage compartments of every size</li><li>Rubber armor housing protects optics while providing superior anti-slip grip</li><li>Carrying case, neck strap and lens cloth included</li><li>Fully weather resistant</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/444043/295847/SIM897842R__71183.1570129275.jpg?c=2&imbypass=on,,$59.99,SIMMONS,332131,NA,Simmons ProSport Porro Binoculars 8x40mm,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        <p>The <strong>Simmons ProSport Porro Binoculars</strong> have been engineered to deliver an expansive apparent field of view. Built with a traditional Porro prism light path and fully coated optics, the ProSport produces bright and sharp high-contrast images with accurate color representation. The rubberized armor provides a slip-resistant grip.</p><p>The Simmons ProSport Porro Binoculars offer:</p><ul><li>Traditional BK7 Porro Prisms</li><li>Anti-Reflection Fully Coated Optics</li><li>Wide 66° Apparent Angle of View</li><li>Impact-Resistant Plastic Chassis</li><li>Neck Strap</li><li>Carrying Case</li><li>2 x Objective Lens Cap</li></ul><p><strong>Features:</strong></p><ul><li><strong>Model: </strong>899880</li><li><strong>Finish:</strong> Black</li><li><strong>Prism Type: </strong>Porro</li><li><strong>Prism Glass:</strong> BK7</li><li><strong>Lens Coating:</strong> Multi</li><li><strong>Magnification:</strong> 8x</li><li><strong>Objective Lens Diameter:</strong> 40 mm</li><li><strong>Field of View: </strong>360 ft at 1000 yds</li><li><strong>Minimum Focus Distance: </strong>16.4'</li><li><strong>Exit Pupil Diameter:</strong> 5 mm</li><li><strong>Eye Relief:</strong> 12 mm</li><li><strong>Adapt to Tripod:</strong> Yes</li><li><strong>Weight:</strong> 26 oz.</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Traditional BK7 Porro Prisms</li><li>Anti-Reflection Fully Coated Optics</li><li>Wide 66° Apparent Angle of View</li><li>Impact-Resistant Plastic Chassis</li><li>Neck Strap</li><li>Carrying Case</li><li>2 x Objective Lens Cap</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/332131/87316/api8f2vgp__05870.1561066231.jpg?c=2&imbypass=on,,$29.99,SIMMONS,444043,NA,Simmons Venture Binoculars 8x42mm,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Redfield Rebel Binoculars</b> offers top of the line performance at an affordable price. These Redfield Rebel Binoculars are nitrogen filled to make them waterproof, fog proof and shock proof. Redfield Rebel 10x 42mm Binoculars are covered by the Redfield Full Lifetime Warranty. Redfield is one of the leading brands of hunting optics, known for the accuracy, ruggedness and reliability of its products.<br><br>The Rebel Binoculars offer:<ul><li>Best in class durability, image quality, and field of view</li><li>Waterproof, fog proof, shock proof</li><li>Redfield Full Lifetime Warranty</li><li>Center focus</li><li>Fully armored Aluminum body</li><li>BAK4 prisms</li><li>Twist-up eyecups</li><li>Fully multi-coated lenses</li><li>Waterproof/Nitrogen filled</li><li>Tripod adaptable mount</li><li>Comes with Soft case, Neoprene neck strap, and Lens covers</li></ul><b>Features:</b><ul><li><b>Model:</b> 67605</li><li><b>Actual Magnification:</b> 10x</li><li><b>Linear Field of View (ft @ 1000yd):</b> 341</li><li><b>Linear Field of View (m @ 1000m):</b> 113.9</li><li><b>Angular Field of View (degrees):</b> 6.5</li><li><b>Weight (ounces):</b> 26.4</li><li><b>Length (in):</b> 5.9</li><li><b>Objective Aperture (mm):</b> 42</li><li><b>Twilight Factor:</b> 20.5</li><li><b>Exit Pupil (mm):</b> 4.0</li><li><b>Eye Relief:</b> 16.3</li><li><b>Interpupillary Distance (mm):</b> 58-73</li><li><b>Close Focus Distance (ft.):</b> 4.3</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>Best in class durability, image quality, and field of view</li><li>Waterproof, fog proof, shock proof</li><li>Redfield Full Lifetime Warranty</li><li>Center focus</li><li>Fully armored Aluminum body</li><li>BAK4 prisms</li><li>Twist-up eyecups</li><li>Fully multi-coated lenses</li><li>Waterproof/Nitrogen filled</li><li>Tripod adaptable mount</li><li>Comes with Soft case, Neoprene neck strap, and Lens covers</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/442488/293020/RED67605__75822.1567802613.jpg?c=2&imbypass=on,,$129.99,Zeiss,330835,NA,Zeiss TERRA ED 10x42mm Binoculars Black,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Nikon Trailblazer 8x25 ATB Binocular</b> is a high-value, versatile binocular with an <b>ultra-wide 429-foot field of view</b> that can fit in a pocket or pack, yet can still handle the toughest weather condition. The sleek, lightweight body provides a comfortable grip. <b>BaK4 high index prisms</b> offer crisp, sharp viewing. <b>Turn-and-slide eyecups</b>. <b>Nitrogen filled and O-ring sealed</b>.<br><br><b>Features:</b><ul><li><b>Model:</b> NIK8217</li><li><b>Focusing System:</b> CF</li><li><b> Magnification:</b> 8x</li><li><b>Objective Diameter:</b> 25mm</li><li><b> Real Angular Field of View:</b> 8.2</li><li><b>Exit Pupil (mm):</b> 3.1</li><li><b> Eye Relief (mm.):</b> 10</li><li><b>Field of View at 1000 yds (ft):</b> 429</li><li><b> Apparent Angular Field of View: </b>  59.7</li><li><b>Size (L&amp;W) inches:</b> 4.1x4.5</li><li><b> Weight:</b> 9.9 oz.</li><li><b>Relative Brightness:</b> 9.6</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> NIK8217</li><li><b>Focusing System:</b> CF</li><li><b> Magnification:</b> 8x</li><li><b>Objective Diameter:</b> 25mm</li><li><b> Real Angular Field of View:</b> 8.2</li><li><b>Exit Pupil (mm):</b> 3.1</li><li><b> Eye Relief (mm.):</b> 10</li><li><b>Field of View at 1000 yds (ft):</b> 429</li><li><b> Apparent Angular Field of View: </b>  59.7</li><li><b>Size (L&amp;W) inches:</b> 4.1x4.5</li><li><b> Weight:</b> 9.9 oz.</li><li><b>Relative Brightness:</b> 9.6</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/444973/297664/NIK8218__91668.1571758125.jpg?c=2&imbypass=on,,$79.99,Nikon,328229,NA,Nikon Aculon A211 Binoculars 10 x 42mm Black,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        With advanced technology in an improved, lightweight design, the <b>Nikon Monarch 5 ATB Binocular</b> offers a sleek and easy-to-grip body with improved agility and enhanced low light brilliance. Nitrogen-filled and O-Ring sealed, the Monarch 5 is built to handle any environment with a rubber-armored coating, waterproof and fog-proof protection and non-slip grips. Nikon's high-eyepoint design and turn-and-slide rubber eyecups provide a personalized, comfortable fit even with eyeglasses. Legendary ED (Extra-low Dispersion) glass lenses correct chromatic abberrations and compensate for color fringing while multi-layer Eco-Glass optics provide a clear, natural view with higher light transmittance and minimal loss of light due to reflection. Dielectric High-Reflective Multi-Layer Prism Coating is applied to all lenses and prism surfaces for rich and accurate colors.<br><b>Features:</b><ul><li><b>Model: </b>7577</li><li><b>Color: </b>Black</li><li><b>Weight: </b>21.6 oz.</li><li><b>Length: </b>5.7""</li><li><b>Width: </b>5.1""</li><li>Waterproof &amp; Fogproof</li><li>Nitrogen-Filled &amp; O-Ring Sealed</li><li>Rubber Armored Body &amp; Non-Slip Grips</li><li>Tripod Mountable w/ Optional Adapter</li></ul><b>Optical Details:</b><ul><li><b>Magnification: </b>10x</li><li><b>Objective Lens Diameter: </b>42mm</li><li><b>Linear Field of View: </b>288 ft.</li><li><b>Angular Field of View: </b>5.5</li><li><b>Close Focus: </b>7.8 ft.</li><li><b>Eye Relief: </b>18.4 mm.</li><li><b>Exit Pupil: </b>4.2 mm</li><li><b>Focus Type: </b>Center</li><li>Smooth Central Focus Knob</li><li>Turn &amp; Slide Rubber Eyecups</li><li>Roof Prisms w/ Phase Coating</li><li>ED/Extra-Low Dispersion Glass</li><li>Fully Multi-Coated Eco-Glass Lenses</li><li>Dialectric High-Reflective Prism Coatings</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model: </b>7577</li><li><b>Color: </b>Black</li><li><b>Weight: </b>21.6 oz.</li><li><b>Length: </b>5.7""</li><li><b>Width: </b>5.1""</li><li>Waterproof &amp; Fogproof</li><li>Nitrogen-Filled &amp; O-Ring Sealed</li><li>Rubber Armored Body &amp; Non-Slip Grips</li><li>Tripod Mountable w/ Optional Adapter</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/333803/72679/api0qksmk__02837.1561048234.jpg?c=2&imbypass=on,,$299.99,Nikon,328229,NA,Nikon Aculon A211 Binoculars 10 x 42mm Black,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Leupold BX-1 McKenzie 10x42mm Binocular</b> delivers leading low-light performance with the Twilight Light Management System, allowing you to see more in less light.<br><br>The Leupold BX-1 McKenzie 10X42mm Binocular offers: <ul><li> BAK 4 Prisms </li><li> Diopter focus paddle that allows you to precisely focus your binoculars </li><li> Multi-coated lens system ensures maximum brightness for clarity, contrast, and color fidelity </li><li> 100% Waterproof </li></ul><b>Features:</b> <ul><li><b>Model:</b> 173788</li><li><b>Magnification:</b> 10X</li><li><b>Objective Lens:</b> 42 mm</li><li><b>Field of View:</b> 305 ft</li><li><b>Weight:</b> 22 oz</li><li><b>Length:</b> 5.8 in </li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li> BAK 4 Prisms </li><li> Diopter focus paddle that allows you to precisely focus your binoculars </li><li> Multi-coated lens system ensures maximum brightness for clarity, contrast, and color fidelity </li><li> 100% Waterproof </li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446334/299817/LEU173788__51825.1573149320.jpg?c=2&imbypass=on,,$129.99,Zeiss,330835,NA,Zeiss TERRA ED 10x42mm Binoculars Black,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        Designed for performance and comfort, the <b>Allen Co. 4-Way Adjustable Deluxe Binocular Strap</b> is quality tested and ensured for maximum durability. This elastic body harness comfortably holds binoculars against the body with black web straps.<br><b>Description:</b><br>Deluxe Binocular Strap<br><br><b>Features:</b><ul><li><b>Model: </b>199</li><li><b>Color: </b>Black</li><li>Black Web Straps</li><li>Elastic Body Harness</li><li>Attaches to Most Binoculars</li><li>Adjustable to Fit Most Anyone</li><li>Made in the U.S.A.</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model: </b>199</li><li><b>Color: </b>Black</li><li>Black Web Straps</li><li>Elastic Body Harness</li><li>Attaches to Most Binoculars</li><li>Adjustable to Fit Most Anyone</li><li>Made in the U.S.A.</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/338102/74630/apieh6o2d__58816.1561050054.jpg?c=2&imbypass=on,,$9.99,Allen Company,338192,NA,Allen Company Thrasher Small Game Head 100 GR 3/pk,NA
